# Range file name:,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt
# Raw file name:,16122021_r248q_1pass_posttrap60_trapce10.raw,16122021_r248q_1pass_posttrap60_trapce25.raw,16122021_r248q_1pass_posttrap60_trapce30_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce35_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce40.raw,16122021_r248q_1pass_posttrap60_trapce50.raw,16122021_r248q_1pass_posttrap60_trapce60.raw
$TrapCV:,10.0,25.0,30.0,35.0,40.0,50.0,60.0
14.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.277,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.872,0.0,0.0,0.0,3.0,0.0,0.0,0.0
24.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.11,26.0,14.0,0.0,0.0,0.0,0.0,0.0
27.229,35152.0,4653.0,1708.0,117.0,0.0,0.0,0.0
28.348,63120.0,11794.0,8158.0,399.0,86.0,14.0,0.0
29.467,24372.0,7320.0,11819.0,1094.0,44.0,22.0,8.0
30.586,9388.0,4899.0,9606.0,2259.0,17.0,14.0,2.0
31.705,2359.0,1153.0,3323.0,1386.0,125.0,0.0,10.0
32.824,2463.0,1027.0,2174.0,1403.0,135.0,0.0,0.0
33.943,2501.0,1629.0,3001.0,2127.0,598.0,44.0,29.0
35.062,4564.0,4400.0,9007.0,5616.0,1164.0,79.0,0.0
36.181,4602.0,5509.0,12493.0,6768.0,1312.0,63.0,47.0
37.3,2110.0,4009.0,10970.0,7293.0,1873.0,110.0,110.0
38.419,1254.0,4559.0,12512.0,9564.0,2188.0,201.0,117.0
39.538,883.0,3706.0,18563.0,14458.0,4350.0,670.0,420.0
40.657,641.0,3600.0,20281.0,26704.0,17799.0,4052.0,5379.0
41.776,926.0,2830.0,36189.0,51569.0,38783.0,13787.0,15165.0
42.895,1139.0,3244.0,40833.0,51825.0,41468.0,18693.0,22018.0
44.014,1122.0,1732.0,23064.0,35721.0,29876.0,11826.0,14693.0
45.133,885.0,647.0,8320.0,18315.0,22211.0,13938.0,16291.0
46.252,833.0,199.0,3499.0,12995.0,29129.0,18997.0,20781.0
47.371,1028.0,91.0,1965.0,12799.0,26550.0,14980.0,14390.0
48.49,651.0,149.0,718.0,7451.0,12901.0,7597.0,7037.0
49.609,306.0,61.0,139.0,1779.0,4174.0,2820.0,2930.0
50.728,134.0,22.0,91.0,480.0,936.0,838.0,550.0
