logfit;norm inten;linear fit;norm inten
82,60079138;0;997,5195091;0
176,6161599;0;1004,048495;0
300,2521204;0;1019,488665;0
386,7450823;0;1034,840605;0
457,6637427;0;1050,192545;0
519,2992102;0;1065,544485;0
574,8859293;0;1080,984655;0
625,4446751;0;1096,336595;0
672,3452753;0;1111,688535;0
716,2902337;0;1127,040475;0
757,7820303;0;1142,392415;0
797,4159383;0;1157,832584;0
835,0277578;0;1173,184525;0
871,0760267;0;1188,536465;0
905,9385483;0;1203,976634;0
939,3668426;0;1219,328574;0
971,6879585;0;1234,680514;0
1003,006355;0;1250,032454;0
1033,410998;0;1265,384395;0
1063,146038;0;1280,824564;0
1091,938311;0;1296,176504;0
1120,018045;0;1311,528444;0
1147,436278;4,53102E-06;1326,880384;4,53102E-06
1174,390548;0;1342,320554;0
1200,613256;0;1357,672494;0
1226,296191;0;1373,024434;0
1251,471768;0;1388,376374;0
1276,309889;0;1403,816544;0
1300,553376;1,20072E-05;1419,168484;1,20072E-05
1324,369687;0;1434,520424;0
1347,780908;0;1449,872364;0
1370,938543;8,60895E-06;1465,312534;8,60895E-06
1393,596625;0;1480,664474;0
1415,905714;5,66378E-06;1496,016414;5,66378E-06
1437,881652;2,99048E-05;1511,368354;2,99048E-05
1459,66269;7,13636E-05;1526,808524;7,13636E-05
1481,013591;7,77071E-05;1542,160464;7,77071E-05
1502,072394;0,000118033;1557,512404;0,000118033
1522,969546;0,000288853;1572,952573;0,000288853
1543,477311;0,000634117;1588,304513;0,000634117
1563,726224;0,000747392;1603,656453;0,000747392
1583,725968;0,001615084;1619,008394;0,001615084
1603,598519;0,003144757;1634,448563;0,003144757
1623,125351;0,005199803;1649,800503;0,005199803
1642,428755;0,007243295;1665,152443;0,007243295
1661,516325;0,009057064;1680,504383;0,009057064
1680,503141;0,011006764;1695,944553;0,011006764
1699,179027;0,013304447;1711,296493;0,013304447
1717,659489;0,017257086;1726,648433;0,017257086
1735,950615;0,030418805;1742,000373;0,030418805
1754,05818;0,097118201;1757,352313;0,097118201
1772,090209;0,39238874;1772,792483;0,39238874
1789,845866;0,842321035;1788,144423;0,842321035
1807,433662;1;1803,496363;1
1824,958009;0,876315271;1818,936533;0,876315271
1842,223164;0,652224631;1834,288473;0,652224631
1859,334038;0,4428972;1849,640413;0,4428972
