logfit;norm inten;linear fit;norm inten
82,93872514;1,05384E-05;1121,62557;1,05384E-05
194,0609218;0;1128,969647;0
334,9927696;0;1146,337397;0
432,8799627;0;1163,605902;0
512,9745479;0;1180,874408;0
582,5141666;0;1198,142913;0
645,1913388;0;1215,510663;0
702,1762268;0;1232,779169;0
755,0228721;0;1250,047674;0
804,5285272;0;1267,31618;0
851,2627958;0;1284,584686;0
895,8984516;0;1301,952436;0
938,2521908;0;1319,220941;0
978,8415575;0;1336,489447;0
1018,092771;0;1353,857197;0
1055,726716;0;1371,125702;0
1092,112103;0;1388,394208;0
1127,366917;0;1405,662713;0
1161,591612;0;1422,931219;0
1195,061255;0;1440,298969;0
1227,46858;0;1457,567474;0
1259,072903;0;1474,83598;0
1289,931807;0;1492,104486;0
1320,267734;0;1509,472235;0
1349,779614;3,04441E-05;1526,740741;3,04441E-05
1378,683385;0;1544,009247;0
1407,015605;1,05384E-05;1561,277752;1,05384E-05
1434,967535;1,40511E-05;1578,645502;1,40511E-05
1462,249818;0;1595,914008;0
1489,050953;0;1613,182513;0
1515,39584;0;1630,451019;0
1541,455001;0;1647,818769;0
1566,951687;1,17093E-05;1665,087274;1,17093E-05
1592,055353;3,92261E-05;1682,35578;3,92261E-05
1616,783854;2,63459E-05;1699,624285;2,63459E-05
1641,292779;9,07469E-05;1716,992035;9,07469E-05
1665,317452;0,000180323;1734,260541;0,000180323
1689,013222;2,45895E-05;1751,529046;2,45895E-05
1712,526884;0,000231844;1768,896796;0,000231844
1735,602207;0,000361817;1786,165302;0,000361817
1758,386086;0,000504084;1803,433807;0,000504084
1780,889427;0,000749979;1820,702313;0,000749979
1803,249488;0,001189663;1838,070063;0,001189663
1825,220403;0,002611755;1855,338568;0,002611755
1846,939778;0,003937831;1872,607074;0,003937831
1868,416169;0,005285569;1889,87558;0,005285569
1889,779068;0,006296665;1907,243329;0,006296665
1910,792001;0,007787842;1924,511835;0,007787842
1931,584941;0,009773736;1941,780341;0,009773736
1952,164742;0,010380276;1959,048846;0,010380276
1972,53791;0,01606923;1976,317352;0,01606923
1992,825992;0,022489428;1993,685102;0,022489428
2012,803028;0,030849854;2010,953607;0,030849854
2032,591112;0,036407663;2028,222113;0,036407663
2052,307725;0,038918718;2045,589863;0,038918718
2071,732638;0,039329714;2062,858368;0,039329714
2090,983893;0,040488347;2080,126874;0,040488347
2110,066123;0,045138102;2097,395379;0,045138102
2128,98376;0,063795668;2114,663885;0,063795668
2147,848389;0,130369363;2132,031635;0,130369363
2166,448496;0,354908267;2149,300141;0,354908267
2184,896225;0,726996974;2166,568646;0,726996974
2203,300054;1;2183,936396;1
2221,453251;0,975894691;2201,204902;0,975894691
2239,464843;0,762571522;2218,473407;0,762571522
2257,338137;0,485750099;2235,741913;0,485750099
2275,076308;0,269583917;2253,010418;0,269583917
2292,783225;0,137171869;2270,378168;0,137171869
2310,25948;0,069347038;2287,646674;0,069347038
2327,609466;0,039599027;2304,915179;0,039599027
2344,934568;0,022645747;2322,282929;0,022645747
2362,039432;0,014446324;2339,551435;0,014446324
2379,025953;0,009244476;2356,81994;0,009244476
2395,896585;0,006590568;2374,088446;0,006590568
2412,653699;0,004292036;2391,356952;0,004292036
2429,394932;0,003301431;2408,724701;0,003301431
2445,931183;0,001925591;2425,993207;0,001925591
2462,360572;0,002030389;2443,261713;0,002030389
2478,778694;0,001780396;2460,629462;0,001780396
2494,999925;0,00085185;2477,897968;0,00085185
2511,120327;0,000753492;2495,166474;0,000753492
2527,141778;0,000672113;2512,434979;0,000672113
2543,066104;0,00047364;2529,703485;0,00047364
2558,98577;0,000445538;2547,071235;0,000445538
2574,72056;0,000709582;2564,33974;0,000709582
2590,36338;0,000621177;2581,608246;0,000621177
2606,004968;0,000667429;2598,975996;0,000667429
2621,468139;0,000427389;2616,244501;0,000427389
2636,844053;0,000340155;2633,513007;0,000340155
2652,13419;0,000819064;2650,781512;0,000819064
2667,339989;0,000487106;2668,050018;0,000487106
2682,549523;0,000453735;2685,417768;0,000453735
2697,590336;0,000323176;2702,686273;0,000323176
2712,550899;0,000265215;2719,954779;0,000265215
2727,4325;0,000223062;2737,223285;0,000223062
2742,321249;0,000408654;2754,591034;0,000408654
2757,048216;0,0001329;2771,85954;0,0001329
2771,699889;0,000330202;2789,128046;0,000330202
2786,277427;0,000301514;2806,396551;0,000301514
2800,865108;0,000305612;2823,764301;0,000305612
2815,297322;0,000394017;2841,032807;0,000394017
2829,658708;0,000375282;2858,301312;0,000375282
2844,032248;0,000356548;2875,669062;0,000356548
2858,254699;0,000385235;2892,937568;0,000385235
2872,409389;0,000393432;2910,206073;0,000393432
2886,497291;0,000328445;2927,474579;0,000328445
2900,599752;0,000474226;2944,842329;0,000474226
2914,556531;0,000496473;2962,110834;0,000496473
2928,449307;0,000348937;2979,37934;0,000348937
2942,278963;0,000325518;2996,647846;0,000325518
2956,046364;0,000258775;3013,916351;0,000258775
2969,830948;0,000306783;3031,284101;0,000306783
2983,476005;0,000191447;3048,552607;0,000191447
2997,061287;0,000196716;3065,821112;0,000196716
3010,665152;9,36742E-05;3083,188862;9,36742E-05
3024,1329;0,000168028;3100,457368;0,000168028
3037,543194;0,000105384;3117,725873;0,000105384
3050,89677;1,17093E-05;3134,994379;1,17093E-05
3064,270615;2,69313E-05;3152,362129;2,69313E-05
3077,512596;4,50807E-05;3169,630634;4,50807E-05
3090,699987;9,66016E-05;3186,89914;9,66016E-05
3103,833466;0;3204,167645;0
3116,913699;1,05384E-05;3221,436151;1,05384E-05
3130,016056;2,28331E-05;3238,803901;2,28331E-05
3142,991437;4,8008E-05;3256,072406;4,8008E-05
3155,915487;1,22947E-05;3273,340912;1,22947E-05
3168,78882;3,68842E-05;3290,609418;3,68842E-05
3181,685587;2,16622E-05;3307,977167;2,16622E-05
3194,45899;0;3325,245673;0
3207,183443;0;3342,514179;0
3219,932224;0;3359,881928;0
3232,560192;0;3377,150434;0
3245,140878;0;3394,41894;0
3257,674817;3,62988E-05;3411,687445;3,62988E-05
3270,234169;0;3429,055195;0
3282,675914;0;3446,323701;0
3295,072458;0;3463,592206;0
3307,424296;0;3480,860712;0
3319,731915;0;3498,129217;0
3332,066149;0;3515,496967;0
3344,286506;0;3532,765473;0
3356,464054;0;3550,033978;0
3368,599245;0;3567,302484;0
3380,761905;0;3584,670234;0
3392,813472;0;3601,938739;0
3404,823996;0;3619,207245;0
3416,862574;0;3636,574995;0
3428,79204;0;3653,843501;0
3440,681709;1,40511E-05;3671,112006;1,40511E-05
3452,531982;0;3688,380512;0
3464,411022;1,75639E-05;3705,748262;1,75639E-05
3476,183458;0;3723,016767;0
3487,917664;1,17093E-05;3740,285273;1,17093E-05
3499,614013;0;3757,553778;0
3511,272875;0;3774,822284;0
3522,961298;0;3792,190034;0
3534,546058;0;3809,458539;0
3546,094404;0;3826,727045;0
3557,606682;0;3843,995551;0
3569,149085;0;3861,3633;0
3580,590039;0;3878,631806;0
3591,995931;2,04912E-05;3895,900312;2,04912E-05
3603,432337;0;3913,268061;0
3614,768877;0;3930,536567;0
3626,071316;0;3947,805073;0
3637,339964;1,40511E-05;3965,073578;1,40511E-05
3648,639599;1,40511E-05;3982,441328;1,40511E-05
3659,841386;0;3999,709834;0
3671,010285;0;4016,978339;0
3682,146588;0;4034,246845;0
3693,250582;0;4051,51535;0
3704,386091;0;4068,8831;0
3715,426133;0;4086,151606;0
3726,434705;0;4103,420111;0
3737,412079;0;4120,688617;0
3748,421343;0;4138,056367;0
3759,336943;0;4155,324872;0
3770,222135;0;4172,593378;0
3781,139476;1,40511E-05;4189,961128;1,40511E-05
3791,964448;0;4207,229633;0
3802,759773;0;4224,498139;0
3813,525695;1,46366E-05;4241,766645;1,46366E-05
3824,262457;0;4259,03515;0
3835,031753;0;4276,4029;0
3845,710743;0;4293,671406;0
3856,36128;0;4310,939911;0
3866,983594;0;4328,208417;0
3877,638716;0;4345,576167;0
3888,2051;0;4362,844672;0
3898,74393;0;4380,113178;0
3909,255425;0;4397,381683;0
3919,799976;0;4414,749433;0
3930,257286;0;4432,017939;0
3940,687896;1,75639E-05;4449,286444;1,75639E-05
3951,151731;0;4466,654194;0
3961,529407;0;4483,9227;0
3971,880996;0;4501,191206;0
3982,206695;0;4518,459711;0
3992,5067;0;4535,728217;0
4002,84018;0;4553,095967;0
