logfit;norm inten;linear fit;norm inten
100;0;2358,931923;0
311,7426755;0,000205875;2374,429354;0,000205875
653,8221509;0;2411,078684;0
872,603981;0,000303395;2447,51859;0,000303395
1047,993982;0,000216711;2483,958496;0,000216711
1198,811452;0;2520,398402;0
1333,980445;0,000671803;2557,047732;0,000671803
1456,418325;0;2593,487638;0
1569,667764;0;2629,927544;0
1675,550466;0;2666,367449;0
1775,354558;0;2702,807355;0
1870,561636;0,000216711;2739,456686;0,000216711
1960,812245;0,000346737;2775,896591;0,000346737
2047,232394;0;2812,336497;0
2130,745483;0;2848,985828;0
2210,770046;0,000910184;2885,425733;0,000910184
2288,100042;0;2921,865639;0
2362,993658;0,000195039;2958,305545;0,000195039
2435,67022;0;2994,745451;0
2506,718412;0,000379243;3031,394781;0,000379243
2575,489908;0;3067,834687;0
2642,538429;0;3104,274593;0
2707,98884;0;3140,714498;0
2772,315076;0,000292559;3177,363829;0,000292559
2834,880669;0;3213,803735;0
2896,14518;0;3250,24364;0
2956,187517;0,000986033;3286,683546;0,000986033
3015,41416;0;3323,332877;0
3073,213072;0;3359,772782;0
3129,984618;0,000205875;3396,212688;0,000205875
3185,782368;0;3432,652594;0
3240,968161;0,000942691;3469,301924;0,000942691
3294,956574;0,000476763;3505,74183;0,000476763
3348,107055;0,000986033;3542,181736;0,000986033
3400,457926;0,001495303;3578,621642;0,001495303
3452,338997;0,000888513;3615,270972;0,000888513
3503,190416;0,001224415;3651,710878;0,001224415
3553,341418;0,001917888;3688,150784;0,001917888
3603,103;0,002026244;3724,800114;0,002026244
3651,933215;0,00358656;3761,24002;0,00358656
3700,143226;0,002871415;3797,679926;0,002871415
3747,756373;0,003651573;3834,119831;0,003651573
3795,063277;0,007909935;3870,769162;0,007909935
3841,543982;0,007086435;3907,209068;0,007086435
3887,489828;0,0095461;3943,648973;0,0095461
3932,919096;0,010423777;3980,088879;0,010423777
3978,105851;0,010705501;4016,73821;0,010705501
4022,550065;0,011431482;4053,178115;0,011431482
4066,526806;0,007682389;4089,618021;0,007682389
4110,050705;0,009665291;4126,057927;0,009665291
4153,135646;0,011962422;4162,497833;0,011962422
4196,038774;0,008668422;4199,147163;0,008668422
4238,282364;0,007758238;4235,587069;0,007758238
4280,124716;0,011734876;4272,026975;0,011734876
4321,814321;0,00862508;4308,676305;0,00862508
4362,885612;0,00760654;4345,116211;0,00760654
4403,588266;0,007205626;4381,556117;0,007205626
4443,932157;0,009166856;4417,996023;0,009166856
4483,926729;0,008592573;4454,435928;0,008592573
4523,807947;0,009741139;4491,085259;0,009741139
4563,128716;0,011312291;4527,525165;0,011312291
4602,126185;0,008462547;4563,96507;0,008462547
4641,029715;0,006002882;4600,614401;0,006002882
4679,402355;0,006663849;4637,054307;0,006663849
4717,474631;0,009849495;4673,494212;0,009849495
4755,253576;0,005948705;4709,934118;0,005948705
4792,745954;0,008235001;4746,374024;0,008235001
4830,171337;0,004919329;4783,023354;0,004919329
4867,108301;0,006707192;4819,46326;0,006707192
