logfit;norm inten;linear fit;norm inten
100;0;2483,771208;0
337,7421589;0;2500,084295;0
692,9880755;0;2538,662542;0
922,1371851;0,000119588;2577,020342;0,000119588
1106,177339;0;2615,378142;0
1264,566288;0;2653,735942;0
1406,590159;5,98E-05;2692,314189;5,98E-05
1535,27801;0;2730,671989;0
1654,334825;4,06E-05;2769,029788;4,06E-05
1765,665501;0;2807,387588;0
1870,618171;0;2845,745388;0
1970,746853;0;2884,323635;0
2065,670699;0;2922,681435;0
2156,571966;0;2961,039235;0
2244,420523;0;2999,617481;0
2328,603621;4,70E-05;3037,975281;4,70E-05
2409,955601;5,55E-05;3076,333081;5,55E-05
2488,747422;0,000172975;3114,690881;0,000172975
2565,209303;0;3153,048681;0
2639,960189;9,61E-05;3191,626928;9,61E-05
2712,317618;7,90E-05;3229,984727;7,90E-05
2782,863886;0,000134536;3268,342527;0,000134536
2851,730132;0,000115317;3306,700327;0,000115317
2919,414839;0,00023704;3345,278574;0,00023704
2985,248138;0,000202872;3383,636374;0,000202872
3049,713437;0,000164433;3421,994174;0,000164433
3112,893643;4,91E-05;3460,351973;4,91E-05
3175,216378;0,000256259;3498,93022;0,000256259
3236,037517;8,33E-05;3537,28802;8,33E-05
3295,778269;0,00012813;3575,64582;0,00012813
3354,494934;5,13E-05;3614,00362;5,13E-05
3412,568222;8,54E-05;3652,581867;8,54E-05
3469,382019;8,11E-05;3690,939666;8,11E-05
3525,314532;4,91E-05;3729,297466;4,91E-05
3580,406041;0,000390795;3767,655266;0,000390795
3635,003586;0,000597938;3806,233513;0,000597938
3688,517966;0,000401473;3844,591313;0,000401473
3741,295619;0,000950294;3882,949113;0,000950294
3793,663803;0,000561635;3921,52736;0,000561635
3845,052157;0,000736745;3959,885159;0,000736745
3895,788117;0,000723932;3998,242959;0,000723932
3945,896223;0,0015824;4036,600759;0,0015824
3995,682308;0,001663549;4075,179006;0,001663549
4044,599145;0,002304197;4113,536806;0,002304197
4092,953328;0,003342046;4151,894606;0,003342046
4140,764077;0,003500073;4190,252405;0,003500073
4188,319813;0,003160529;4228,830652;0,003160529
4235,094277;0,003216052;4267,188452;0,003216052
4281,376947;0,003040942;4305,546252;0,003040942
4327,18321;0,002603166;4343,904052;0,002603166
4372,527664;0,002229454;4382,261851;0,002229454
4417,680934;0,002299926;4420,840098;0,002299926
4462,140228;0,003160529;4459,197898;0,003160529
4506,177385;0,003948526;4497,555698;0,003948526
4550,053923;0,002786818;4536,133945;0,002786818
4593,279846;0,002876509;4574,491745;0,002876509
4636,117918;0,003245949;4612,849545;0,003245949
4678,578528;0,002613843;4651,207344;0,002613843
4720,671606;0,002855154;4689,565144;0,002855154
4762,645494;0,003617525;4728,143391;0,003617525
4804,029631;0,002351178;4766,501191;0,002351178
4845,073605;0,003096464;4804,858991;0,003096464
4886,018809;0,003626067;4843,437238;0,003626067
4926,405356;0,002934167;4881,795037;0,002934167
4966,475865;0,002891457;4920,152837;0,002891457
5006,237734;0,00216539;4958,510637;0,00216539
5045,698078;0,001257805;4996,868437;0,001257805
5085,087992;0,000990869;5035,446684;0,000990869
5123,963924;0,001347496;5073,804484;0,001347496
5162,558146;0,000817894;5112,162283;0,000817894
5201,096209;0,000834978;5150,74053;0,000834978
5239,143601;0,000723932;5189,09833;0,000723932
5276,927012;0,001065611;5227,45613;0,001065611
5314,451933;0,000988733;5265,81393;0,000988733
5351,723665;0,001027172;5304,17173;0,001027172
5388,959401;0,001851472;5342,749977;0,001851472
5425,738565;0,001573858;5381,107776;0,001573858
5462,279428;0,001731885;5419,465576;0,001731885
5498,794618;0,003181884;5458,043823;0,003181884
5534,871322;0,004149262;5496,401623;0,004149262
5570,723205;0,006716125;5534,759423;0,006716125
5606,354474;0,010051764;5573,117222;0,010051764
5641,769204;0,01657783;5611,475022;0,01657783
5677,173048;0,025914204;5650,053269;0,025914204
5712,165243;0,037973332;5688,411069;0,037973332
5746,952419;0,066418095;5726,768869;0,066418095
5781,736379;0,107718525;5765,347116;0,107718525
5816,123111;0,19025532;5803,704916;0,19025532
5850,315358;0,311820379;5842,062715;0,311820379
5884,316425;0,467675046;5880,420515;0,467675046
5918,129524;0,653381766;5918,778315;0,653381766
5951,950516;0,850336127;5957,356562;0,850336127
5985,395928;0,978388813;5995,714362;0,978388813
6018,662505;1;6034,072162;1
6051,753121;0,874366826;6072,429961;0,874366826
6084,859262;0,699809514;6111,008208;0,699809514
6117,60531;0,490518412;6149,366008;0,490518412
6150,18359;0,323559183;6187,723808;0,323559183
6182,59669;0,183586176;6226,081608;0,183586176
6215,032009;0,108134946;6264,659855;0,108134946
6247,121327;0,05865985;6303,017654;0,05865985
6279,052848;0,03859476;6341,375454;0,03859476
6311,011082;0,030061331;6379,953701;0,030061331
6342,633082;0,018089759;6418,311501;0,018089759
6374,104132;0,013558243;6456,669301;0,013558243
6405,426402;0,008915682;6495,027101;0,008915682
6436,78076;0,00819175;6533,605348;0,00819175
6467,810948;0,005195654;6571,963147;0,005195654
6498,698571;0,003515021;6610,320947;0,003515021
6529,445602;0,002481443;6648,678747;0,002481443
6560,053969;0,001949705;6687,036547;0,001949705
6590,700286;0,001687039;6725,614794;0,001687039
6621,03616;0,001277025;6763,972593;0,001277025
6651,238905;0,000644919;6802,330393;0,000644919
6681,482727;0,000615022;6840,90864;0,000615022
6711,423713;0,000655596;6879,26644;0,000655596
6741,236744;0,000410015;6917,62424;0,000410015
6770,923469;0,000228498;6955,98204;0,000228498
6800,655038;0,000207143;6994,560287;0,000207143
6830,093249;5,34E-05;7032,918086;5,34E-05
6859,409898;0,000190059;7071,275886;0,000190059
6888,606497;0,000281885;7109,633686;0,000281885
6917,68453;0,000284021;7147,991486;0,000284021
6946,811554;8,11E-05;7186,569733;8,11E-05
6975,656117;0,000132401;7224,927533;0,000132401
7004,386387;0;7263,285332;0
7033,003731;3,84E-05;7301,643132;3,84E-05
7061,672992;0;7340,221379;0
7090,067841;5,98E-05;7378,579179;5,98E-05
7118,353708;6,19E-05;7416,936979;6,19E-05
7146,693488;6,19E-05;7455,515226;6,19E-05
7174,764542;5,34E-05;7493,873025;5,34E-05
7202,730332;3,84E-05;7532,230825;3,84E-05
7230,59205;0,000149484;7570,588625;0,000149484
7258,510103;8,54E-05;7609,166872;8,54E-05
7286,166578;8,11E-05;7647,524672;8,11E-05
7313,722427;0;7685,882472;0
7341,178755;0;7724,240271;0
7368,536647;4,06E-05;7762,598071;4,06E-05
7395,953557;0,000145214;7801,176318;0,000145214
7423,1172;0;7839,534118;0
7450,18555;0,000228498;7877,891918;0,000228498
7477,159617;4,70E-05;7916,249718;4,70E-05
7504,194609;4,70E-05;7954,827964;4,70E-05
7530,982536;0,000181517;7993,185764;0,000181517
7557,679106;0;8031,543564;0
7584,437908;0;8070,121811;0
7610,954059;0,000196465;8108,479611;0,000196465
7637,381631;9,61E-05;8146,837411;9,61E-05
7663,721518;0;8185,19521;0
7690,12523;0;8223,773457;0
7716,291877;0,000100368;8262,131257;0,000100368
7742,373435;0;8300,489057;0
7768,370741;0;8338,846857;0
7794,284616;7,26E-05;8377,204657;7,26E-05
7820,264087;0,000106775;8415,782904;0,000106775
7846,013044;3,84E-05;8454,140703;3,84E-05
7871,680962;0;8492,498503;0
7897,26861;0,000185788;8530,856303;0,000185788
7922,923117;4,06E-05;8569,43455;4,06E-05
7948,352038;4,91E-05;8607,79235;4,91E-05
7973,702933;5,55E-05;8646,150149;5,55E-05
7999,121553;9,61E-05;8684,728396;9,61E-05
8024,318116;0;8723,086196;0
8049,438793;4,91E-05;8761,443996;4,91E-05
8074,484274;8,97E-05;8799,801796;8,97E-05
8099,598537;0;8838,380043;0
8124,495235;0;8876,737843;0
8149,31875;9,18E-05;8915,095642;9,18E-05
8174,069734;0,000117452;8953,453442;0,000117452
8198,748825;8,33E-05;8991,811242;8,33E-05
8223,497875;5,55E-05;9030,389489;5,55E-05
8248,034662;9,40E-05;9068,747289;9,40E-05
8272,501427;0;9107,105089;0
8296,898772;4,06E-05;9145,462888;4,06E-05
8321,366915;0,000130265;9184,041135;0,000130265
8345,626809;0;9222,398935;0
8369,819047;4,27E-05;9260,756735;4,27E-05
8394,082658;8,33E-05;9299,334982;8,33E-05
8418,140908;0;9337,692782;0
8442,133192;0;9376,050581;0
8466,060058;3,84E-05;9414,408381;3,84E-05
8489,922044;4,27E-05;9452,766181;4,27E-05
8513,856266;4,27E-05;9491,344428;4,27E-05
8537,589716;0;9529,702228;0
8561,259864;4,06E-05;9568,060028;4,06E-05
8584,867219;0;9606,417827;0
8608,547423;5,13E-05;9644,996074;5,13E-05
8632,030343;4,70E-05;9683,353874;4,70E-05
8655,451965;0;9721,711674;0
8678,812772;0;9760,069474;0
8702,246979;7,05E-05;9798,647721;7,05E-05
8725,487239;4,27E-05;9837,00552;4,27E-05
8748,6681;4,91E-05;9875,36332;4,91E-05
8771,922737;0,00012813;9913,941567;0,00012813
8794,985837;0,000125994;9952,299367;0,000125994
8817,990901;5,13E-05;9990,657167;5,13E-05
8840,93837;0;10029,01497;0
