logfit;norm inten;linear fit;norm inten
82,60079138;0;997,5195091;0
176,6161599;0;1004,048495;0
300,2521204;0;1019,488665;0
386,7450823;0;1034,840605;0
457,6637427;0;1050,192545;0
519,2992102;0;1065,544485;0
574,8859293;0;1080,984655;0
625,4446751;0;1096,336595;0
672,3452753;0;1111,688535;0
716,2902337;0;1127,040475;0
757,7820303;0;1142,392415;0
797,4159383;0;1157,832584;0
835,0277578;0;1173,184525;0
871,0760267;0;1188,536465;0
905,9385483;0;1203,976634;0
939,3668426;0;1219,328574;0
971,6879585;0;1234,680514;0
1003,006355;3,79556E-06;1250,032454;3,79556E-06
1033,410998;0;1265,384395;0
1063,146038;0;1280,824564;0
1091,938311;0;1296,176504;0
1120,018045;0;1311,528444;0
1147,436278;0;1326,880384;0
1174,390548;0;1342,320554;0
1200,613256;0;1357,672494;0
1226,296191;0;1373,024434;0
1251,471768;0;1388,376374;0
1276,309889;0;1403,816544;0
1300,553376;0;1419,168484;0
1324,369687;0;1434,520424;0
1347,780908;0;1449,872364;0
1370,938543;0;1465,312534;0
1393,596625;0;1480,664474;0
1415,905714;0;1496,016414;0
1437,881652;2,21408E-06;1511,368354;2,21408E-06
1459,66269;0;1526,808524;0
1481,013591;0;1542,160464;0
1502,072394;3,87463E-06;1557,512404;3,87463E-06
1522,969546;0;1572,952573;0
1543,477311;2,29315E-06;1588,304513;2,29315E-06
1563,726224;0;1603,656453;0
1583,725968;1,70009E-05;1619,008394;1,70009E-05
1603,598519;5,69334E-06;1634,448563;5,69334E-06
1623,125351;7,6781E-05;1649,800503;7,6781E-05
1642,428755;5,3296E-05;1665,152443;5,3296E-05
1661,516325;0,000154353;1680,504383;0,000154353
1680,503141;0,000499353;1695,944553;0,000499353
1699,179027;0,001455834;1711,296493;0,001455834
1717,659489;0,005829344;1726,648433;0,005829344
1735,950615;0,01468873;1742,000373;0,01468873
1754,05818;0,035673738;1757,352313;0,035673738
1772,090209;0,160835662;1772,792483;0,160835662
1789,845866;0,692997085;1788,144423;0,692997085
1807,433662;0,986141548;1803,496363;0,986141548
1824,958009;1;1818,936533;1
1842,223164;0,852200024;1834,288473;0,852200024
1859,334038;0,695455816;1849,640413;0,695455816
1876,294747;0,528381127;1864,992353;0,528381127
1893,109224;0,412057317;1880,344293;0,412057317
